department,course_num,section,semester,year,timeslot
AMS,510,01,Spring,2021,MW 06:05PM-07:25PM
AMS,595,01,Spring,2021,
AMS,535,01,Spring,2021,TUTH 06:05PM-07:25PM
AMS,530,01,Spring,2021,MW 04:05PM-05:25PM
AMS,532,01,Spring,2021,MW 11:30AM-12:20PM
AMS,539,01,Spring,2021,TUTH 11:30AM-12:20PM

AMS,501,01,Spring,2021,TUTH 06:05PM-07:25PM
AMS,526,01,Spring,2021,MW 04:05PM-05:25PM

AMS,507,01,Spring,2021,TUTH 06:05PM-07:25PM
AMS,540,01,Spring,2021,MW 04:05PM-05:25PM

AMS,511,01,Spring,2021,MW 04:05PM-05:25PM
AMS,572,01,Spring,2021,MW 02:05PM-03:25PM

AMS,570,01,Spring,2021,MW 04:05PM-05:25PM



AMS,533,01,Fall,2021,MW 06:05PM-07:25PM
AMS,537,01,Fall,2021,TUTH 06:05PM-07:25PM
AMS,534,01,Fall,2021,MW 04:05PM-05:25PM
AMS,536,01,Fall,2021,MW 11:30AM-12:20PM
AMS,532,01,Fall,2021,TUTH 11:30AM-12:20PM
PHY,561,01,Fall,2021,TUTH 08:30AM-09:20AM

AMS,502,01,Fall,2021,TUTH 11:30AM-12:20PM
AMS,527,01,Fall,2021,MW 06:05PM-07:25PM
AMS,528,01,Fall,2021,TUTH 08:30AM-09:20AM
AMS,561,01,Fall,2021,MW 07:30PM-08:25PM

AMS,550,01,Fall,2021,TUTH 08:30AM-09:20AM
AMS,570,01,Fall,2021,MW 07:30PM-08:25PM
AMS,542,01,Fall,2021,

AMS,512,01,Fall,2021,MW 08:30AM-09:20AM
AMS,513,01,Fall,2021,MW 07:30PM-08:25PM
AMS,517,01,Fall,2021,TUTH 08:30AM-09:20AM
AMS,515,01,Fall,2021,TUTH 12:30PM-01:20PM

AMS,571,01,Fall,2021,MW 08:30AM-09:20AM
AMS,573,01,Fall,2021,MW 07:30PM-08:25PM
AMS,578,01,Fall,2021,TUTH 08:30AM-09:20AM
AMS,582,01,Fall,2021,TUTH 12:30PM-01:20PM



AMS,507,01,Spring,2022,MW 04:05PM-05:25PM
CHE,541,01,Spring,2022,MW 11:30AM-12:20PM
PHY,558,01,Spring,2022,TUTH 11:30AM-12:20PM
AMS,532,01,Spring,2022,TUTH 08:30AM-09:20AM

AMS,526,01,Spring,2022,MW 04:05PM-05:25PM
AMS,503,01,Spring,2022,MW 11:30AM-12:20PM
AMS,530,01,Spring,2022,TUTH 11:30AM-12:20PM
AMS,542,01,Spring,2022,MW 08:30AM-09:20AM

AMS,553,01,Spring,2022,MW 11:30AM-12:20PM
AMS,552,01,Spring,2022,TUTH 11:30AM-12:20PM
AMS,547,01,Spring,2022,MW 08:30AM-09:20AM

AMS,514,01,Spring,2022,MW 04:05PM-05:25PM
AMS,516,01,Spring,2022,MW 11:30AM-12:20PM
AMS,518,01,Spring,2022,MW 08:30AM-09:20AM

AMS,597,01,Spring,2022,MW 04:05PM-05:25PM
AMS,595,01,Spring,2022,MW 11:30AM-12:20PM
AMS,586,01,Spring,2022,MW 08:30AM-09:20AM



AMS,599,01,Fall,2022,MW 06:05PM-07:25PM
CHE,528,01,Fall,2022,MW 04:05PM-05:25PM
AMS,548,01,Fall,2022,MW 11:30AM-12:20PM
JRN,565,01,Fall,2022,TUTH 08:30AM-09:20AM
CSE,549,01,Fall,2022,MW 06:05PM-07:25PM
