department,course_num,section,semester,year,timeslot
BMI,501,01,Spring,2021,TUTH 11:30AM-12:20PM
BMI,502,01,Spring,2021,MW 11:30AM-12:20PM
BMI,503,01,Spring,2021,MW 11:30AM-12:20PM
BMI,512,01,Spring,2021,MW 06:05PM-07:25PM
BMI,592,01,Spring,2021,MW 04:05PM-05:25PM

BMI,513,01,Spring,2021,MW 06:05PM-07:25PM

BMI,592,02,Spring,2021,TUTH 06:05PM-07:25PM
BMI,599,01,Spring,2021,

BMI,511,01,Spring,2021,MW 06:05PM-07:25PM



BMI,592,01,Fall,2021,TUTH 06:05PM-07:25PM
BMI,598,01,Fall,2021,
BMI,540,01,Fall,2021,MW 06:05PM-07:25PM
BMI,517,01,Fall,2021,MW 03:05PM-04:25PM
BMI,550,01,Fall,2021,MW 11:30AM-12:20PM

BMI,599,01,Fall,2021,

BMI,514,01,Fall,2021,MW 08:30AM-09:20AM
BMI,520,01,Fall,2021,TUTH 11:30AM-12:20PM

BMI,560,01,Fall,2021,TUTH 08:30AM-09:20AM



BMI,592,01,Spring,2022,TUTH 08:30AM-09:20AM
BMI,598,01,Spring,2022,MW 03:05PM-04:25PM
BMI,520,01,Spring,2022,TUTH 11:30AM-12:20PM

BMI,517,01,Spring,2022,MW 06:05PM-07:25PM
