department,course_num,section,semester,year,timeslot
CSE,523,01,Spring,2021,
CSE,523,02,Spring,2021,
CSE,502,01,Spring,2021,TUTH 06:05PM-07:25PM
CSE,505,01,Spring,2021,MW 04:05PM-05:25PM
CSE,512,01,Spring,2021,TUTH 11:30AM-12:20PM

CSE,522,01,Spring,2021,
CSE,522,02,Spring,2021,

CSE,599,01,Spring,2021,
CSE,599,02,Spring,2021,


CSE,524,01,Fall,2021,
CSE,508,01,Fall,2021,TUTH 06:05PM-07:25PM
CSE,527,01,Fall,2021,TUTH 11:30AM-12:20PM
CSE,528,01,Fall,2021,MW 04:05PM-05:25PM

CSE,538,01,Fall,2021,MW 06:05PM-07:25PM

CSE,599,01,Fall,2021,


CSE,564,01,Spring,2022,TUTH 06:05PM-07:25PM
CSE,548,01,Spring,2022,TUTH 11:30AM-12:20PM
CSE,546,01,Spring,2022,MW 04:05PM-05:25PM

CSE,599,01,Spring,2022,
