sbu_id,department,course_num,section,semester,year,grade
1234501,AMS,510,01,Spring,2021,A
1234501,AMS,595,01,Spring,2021,A
1234501,AMS,535,01,Spring,2021,A
1234501,AMS,530,01,Spring,2021,A
1234501,AMS,532,01,Spring,2021,S
1234501,AMS,539,01,Spring,2021,A
1234501,AMS,533,01,Fall,2021,A
1234501,AMS,537,01,Fall,2021,A
1234501,AMS,534,01,Fall,2021,A
1234501,AMS,536,01,Fall,2021,A
1234501,AMS,532,01,Fall,2021,S
1234501,PHY,561,01,Fall,2021,A
1234501,AMS,507,01,Spring,2022,A
1234501,CHE,541,01,Spring,2022,A
1234501,PHY,558,01,Spring,2022,A
1234501,AMS,532,01,Spring,2022,S
1234501,AMS,599,01,Fall,2022,S
1234501,CHE,528,01,Fall,2022,A
1234501,AMS,548,01,Fall,2022,A
1234501,JRN,565,01,Fall,2022,A
1234501,CSE,549,01,Fall,2022,A
1234502,AMS,510,01,Spring,2021,A
1234502,AMS,595,01,Spring,2021,A
1234502,AMS,535,01,Spring,2021,A
1234502,AMS,530,01,Spring,2021,A
1234502,AMS,532,01,Spring,2021,S
1234502,AMS,539,01,Spring,2021,A
1234502,AMS,533,01,Fall,2021,A
1234502,AMS,537,01,Fall,2021,A
1234502,AMS,534,01,Fall,2021,A
1234502,AMS,536,01,Fall,2021,A
1234502,AMS,532,01,Fall,2021,S
1234502,PHY,561,01,Fall,2021,A
1234502,AMS,507,01,Spring,2022,A
1234502,CHE,541,01,Spring,2022,A
1234502,PHY,558,01,Spring,2022,A
1234502,AMS,532,01,Spring,2022,S
1234502,AMS,599,01,Fall,2022,S
1234502,CHE,528,01,Fall,2022,A
1234502,AMS,548,01,Fall,2022,A
1234502,JRN,565,01,Fall,2022,A
1234502,CSE,549,01,Fall,2022,A
1234503,AMS,510,01,Spring,2021,A
1234503,AMS,595,01,Spring,2021,A
1234503,AMS,535,01,Spring,2021,A
1234503,AMS,530,01,Spring,2021,A
1234503,AMS,532,01,Spring,2021,S
1234503,AMS,539,01,Spring,2021,A
1234503,AMS,533,01,Fall,2021,A
1234503,AMS,537,01,Fall,2021,A
1234503,AMS,534,01,Fall,2021,A
1234503,AMS,536,01,Fall,2021,A
1234503,AMS,532,01,Fall,2021,S
1234503,PHY,561,01,Fall,2021,A
1234503,AMS,507,01,Spring,2022,A
1234503,CHE,541,01,Spring,2022,A
1234503,PHY,558,01,Spring,2022,A
1234503,AMS,532,01,Spring,2022,S
1234503,AMS,599,01,Fall,2022,S
1234503,CHE,528,01,Fall,2022,A
1234503,AMS,548,01,Fall,2022,A
1234503,JRN,565,01,Fall,2022,A
1234503,CSE,549,01,Fall,2022,A
1234505,AMS,510,01,Spring,2021,A
1234505,AMS,595,01,Spring,2021,A
1234505,AMS,535,01,Spring,2021,A
1234505,AMS,530,01,Spring,2021,A
1234505,AMS,532,01,Spring,2021,S
1234505,AMS,539,01,Spring,2021,A
1234505,AMS,533,01,Fall,2021,A
1234505,AMS,537,01,Fall,2021,A
1234505,AMS,534,01,Fall,2021,A
1234505,AMS,536,01,Fall,2021,A
1234505,AMS,532,01,Fall,2021,S
1234505,PHY,561,01,Fall,2021,A
1234505,AMS,507,01,Spring,2022,A
1234505,CHE,541,01,Spring,2022,A
1234505,PHY,558,01,Spring,2022,A
1234505,AMS,532,01,Spring,2022,S
1234505,AMS,599,01,Fall,2022,S
1234505,CHE,528,01,Fall,2022,A
1234505,AMS,548,01,Fall,2022,A
1234505,JRN,565,01,Fall,2022,A
1234505,CSE,549,01,Fall,2022,A
